fid,org_fid,distance,x,y
"1","17",0,233066.675,316654.841
"2","17",0.5,233066.588069027,316655.333385018
"3","17",1,233066.500245093,316655.825608773
"4","17",1.5,233066.407178026,316656.316859385
"5","17",2,233066.303059358,316656.80586944
"6","17",2.5,233066.182290437,316657.291037005
"7","17",3,233066.04548077,316657.771921016
"8","17",3.5,233065.888278159,316658.246480426
"9","17",4,233065.704725068,316658.711468745
"10","17",4.5,233065.491368414,316659.163532123
"11","17",5,233065.246508276,316659.599350359
"12","17",5.5,233064.981475877,316660.023287451
"13","17",6,233064.704716336,316660.43968494
"14","17",6.5,233064.420352569,316660.850939273
"15","17",7,233064.129734493,316661.257802006
"16","17",7.5,233063.831900568,316661.659390607
"17","17",8,233063.521128947,316662.051041264
"18","17",8.5,233063.198468323,316662.432956984
"19","17",9,233062.860121604,316662.801034619
"20","17",9.5,233062.50663324,316663.154542216
"21","17",10,233062.133435796,316663.487105613
"22","17",10.5,233061.73757187,316663.792420796
"23","17",11,233061.328502048,316664.079831807
"24","17",11.5,233060.907797424,316664.349958918
"25","17",12,233060.478811988,316664.606748598
"26","17",12.5,233060.043442247,316664.852565367
"27","17",13,233059.601081512,316665.085501794
"28","17",13.5,233059.151182077,316665.303544526
"29","17",14,233058.694532528,316665.507098846
"30","17",14.5,233058.23186921,316665.696615061
"31","17",15,233057.76387385,316665.872577923
"32","17",15.5,233057.291172714,316666.035496875
"33","17",16,233056.814337061,316666.18589726
"34","17",16.5,233056.333884618,316666.324312586
"35","17",17,233055.850754262,316666.453073439
"36","17",17.5,233055.365200094,316666.572362443
"37","17",18,233054.877440335,316666.682277461
"38","17",18.5,233054.387687297,316666.78292964
"39","17",19,233053.89567946,316666.871839452
"40","17",19.5,233053.40218148,316666.952067839
"41","17",20,233052.907640962,316667.025613243
"42","17",20.5,233052.412185146,316667.092870467
"43","17",21,233051.916397217,316667.157580208
"44","17",21.5,233051.420258086,316667.219596033
"45","17",22,233050.924118955,316667.281611858
"46","17",22.5,233050.427979824,316667.343627683
"47","17",22.5513765397938,233050.377,316667.35
