id,x,y
"00000001",233066.675,316654.841
"00000002",233069.491,316654.965
"00000003",233072.191,316655.092
"00000004",233081.876,316665.379
"00000005",233081.692,316668.618
"00000006",233070.289,316691.206
"00000007",233067.592,316691.286
"00000008",233064.469,316691.313
"00000009",233061.641,316691.301
"00000010",233058.789,316691.294
"00000011",233050.377,316667.350
"00000012",233050.585,316663.656
"00000013",233060.716,316654.532
"00000014",233063.556,316654.691
"00000015",233069.092,316614.428
"00000016",233071.836,316614.556
"00000017",233074.549,316614.683
"00000018",233072.410,316600.961
"00000019",233075.442,316601.126
"00000020",233095.426,316665.985
"00000021",233095.206,316669.486
"00000022",233069.233,316714.058
"00000023",233066.373,316713.948
"00000024",233063.148,316714.016
"00000025",233060.433,316714.016
"00000026",233057.649,316713.920
"00000027",233031.504,316666.468
"00000028",233031.697,316662.857
"00000029",233065.705,316614.274
"00000030",233063.093,316614.109
