fid,org_fid,distance,x,y
"1","23",0,233081.692,316668.618
"2","23",0.5,233081.194949338,316668.672227663
"3","23",1,233080.698005073,316668.727416888
"4","23",1.5,233080.201574763,316668.787029641
"5","23",2,233079.706187247,316668.854745797
"6","23",2.5,233079.212157903,316668.931586028
"7","23",3,233078.723871426,316669.038592341
"8","23",3.5,233078.245497815,316669.183634096
"9","23",4,233077.778857102,316669.362862989
"10","23",4.5,233077.323473437,316669.569153728
"11","23",5,233076.880864775,316669.801591341
"12","23",5.5,233076.452041321,316670.058565839
"13","23",6,233076.036080189,316670.335897777
"14","23",6.5,233075.636701101,316670.6365499
"15","23",7,233075.257846484,316670.962738575
"16","23",7.5,233074.897084139,316671.308837247
"17","23",8,233074.557174847,316671.675405178
"18","23",8.5,233074.23986702,316672.06171673
"19","23",9,233073.94546434,316672.465766002
"20","23",9.5,233073.676925415,316672.887419011
"21","23",10,233073.437404592,316673.326192481
"22","23",10.5,233073.21871138,316673.775807805
"23","23",11,233073.008689116,316674.229554257
"24","23",11.5,233072.803541781,316674.685528602
"25","23",12,233072.607047938,316675.145279876
"26","23",12.5,233072.421400928,316675.609518522
"27","23",13,233072.245790486,316676.077650745
"28","23",13.5,233072.079835993,316676.549297883
"29","23",14,233071.924198498,316677.024434403
"30","23",14.5,233071.781861584,316677.503716731
"31","23",15,233071.653222321,316677.986866864
"32","23",15.5,233071.537970841,316678.473378889
"33","23",16,233071.434372127,316678.962512534
"34","23",16.5,233071.344791598,316679.4543978
"35","23",17,233071.266567682,316679.948225959
"36","23",17.5,233071.196369926,316680.443267374
"37","23",18,233071.132047886,316680.93911026
"38","23",18.5,233071.072153318,316681.435508132
"39","23",19,233071.015676233,316681.932306029
"40","23",19.5,233070.96189128,316682.429402377
"41","23",20,233070.910264338,316682.926728153
"42","23",20.5,233070.860439933,316683.424239489
"43","23",21,233070.812930554,316683.921977123
"44","23",21.5,233070.766929682,316684.419855206
"45","23",22,233070.722443183,316684.917871136
"46","23",22.5,233070.679720828,316685.416042593
"47","23",23,233070.639135445,316685.914392171
"48","23",23.5,233070.600512956,316686.4128957
"49","23",24,233070.563393563,316686.911515852
"50","23",24.5,233070.528792765,316687.4103172
"51","23",25,233070.494987911,316687.90917178
"52","23",25.5,233070.462858469,316688.408138412
"53","23",26,233070.430729027,316688.907105043
"54","23",26.5,233070.399913752,316689.406154477
"55","23",27,233070.369160071,316689.905207791
"56","23",27.5,233070.338406389,316690.404261106
"57","23",28,233070.307652708,316690.903314421
"58","23",28.3032597617608,233070.289,316691.206
